"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Tim Beckham","Rays","34.3 %","71.2 %","51.3 %","48.4 %","79.3 %","68.1 %","46.0 %","63.1 %","16.3 %","31.6 %","6.6 %","301","7949"
"Alex Bregman","Astros","24.6 %","66.7 %","44.0 %","70.1 %","89.5 %","83.6 %","46.1 %","60.2 %","7.2 %","17.0 %","10.0 %","329","17678"
"Ender Inciarte","Braves","36.4 %","71.7 %","53.0 %","77.5 %","92.0 %","86.8 %","47.1 %","63.9 %","7.0 %","14.4 %","7.2 %","404","4922"
"Danny Valencia","Mariners","28.4 %","58.1 %","42.1 %","58.2 %","83.9 %","74.6 %","46.3 %","57.2 %","10.7 %","23.4 %","8.6 %","325","6364"
"Whit Merrifield","Royals","34.0 %","69.3 %","50.2 %","72.5 %","89.4 %","83.2 %","46.0 %","60.6 %","8.4 %","13.8 %","4.8 %","289","11281"
"Jordy Mercer","Pirates","24.8 %","59.8 %","41.0 %","72.2 %","91.1 %","85.0 %","46.5 %","56.9 %","6.2 %","15.4 %","10.8 %","332","6547"
"Stephen Piscotty","Cardinals","28.9 %","70.8 %","46.5 %","65.0 %","83.4 %","76.8 %","42.0 %","62.1 %","10.8 %","19.7 %","13.4 %","269","13367"
"Melky Cabrera","White Sox","30.7 %","61.9 %","44.2 %","75.5 %","95.7 %","87.7 %","43.2 %","58.8 %","5.4 %","12.7 %","6.5 %","369","4022"
"Francisco Lindor","Indians","29.9 %","68.3 %","47.0 %","76.5 %","92.2 %","86.6 %","44.5 %","59.6 %","6.3 %","13.5 %","7.8 %","386","12916"
"Carlos Santana","Indians","21.0 %","62.5 %","40.1 %","74.0 %","87.2 %","83.5 %","46.2 %","52.3 %","6.6 %","14.3 %","12.7 %","371","2396"
"Matt Joyce","Athletics","19.1 %","68.0 %","42.0 %","61.4 %","80.2 %","75.7 %","46.9 %","55.0 %","10.2 %","20.7 %","13.7 %","300","3353"
"Cameron Maybin","Angels","21.3 %","56.4 %","36.4 %","56.4 %","87.2 %","77.0 %","43.1 %","58.8 %","8.4 %","19.8 %","13.3 %","308","5223"
"Trea Turner","Nationals","26.0 %","63.5 %","43.9 %","63.4 %","87.3 %","79.9 %","47.9 %","61.9 %","8.8 %","17.5 %","5.7 %","315","16252"
"Keon Broxton","Brewers","27.1 %","68.2 %","45.0 %","51.0 %","67.0 %","61.6 %","43.5 %","62.5 %","17.3 %","37.9 %","8.4 %","309","9253"
"Cesar Hernandez","Phillies","24.5 %","63.1 %","43.3 %","61.7 %","86.3 %","79.2 %","48.8 %","60.6 %","9.0 %","19.7 %","7.7 %","259","10556"
"Asdrubal Cabrera","Mets","29.8 %","71.3 %","48.0 %","74.1 %","89.0 %","83.8 %","43.7 %","60.9 %","7.8 %","14.1 %","9.8 %","256","4962"
"Brian Dozier","Twins","22.3 %","63.7 %","41.5 %","63.8 %","85.1 %","79.0 %","46.3 %","56.0 %","8.7 %","20.0 %","10.4 %","375","9810"
"Kendrys Morales","Blue Jays","36.5 %","68.6 %","49.4 %","58.5 %","83.3 %","72.4 %","40.2 %","57.4 %","13.7 %","22.9 %","5.9 %","340","8610"
"Nicholas Castellanos","Tigers","35.1 %","72.2 %","50.5 %","56.3 %","82.6 %","71.8 %","41.3 %","67.0 %","14.2 %","25.1 %","7.8 %","358","11737"
"Brandon Phillips","Braves","41.1 %","73.5 %","54.7 %","70.1 %","89.0 %","80.8 %","42.1 %","64.1 %","10.5 %","12.9 %","4.6 %","326","791"
"Mark Trumbo","Orioles","31.7 %","70.2 %","48.2 %","63.6 %","80.0 %","73.8 %","42.9 %","60.2 %","12.6 %","20.7 %","8.2 %","377","6876"
"Jarrod Dyson","Mariners","26.8 %","61.6 %","43.5 %","75.5 %","89.1 %","84.7 %","47.9 %","64.7 %","6.6 %","14.7 %","7.9 %","292","4866"
"Kevin Kiermaier","Rays","28.8 %","68.4 %","46.2 %","63.9 %","84.3 %","77.1 %","43.8 %","59.5 %","10.6 %","24.0 %","8.8 %","262","11038"
"Joe Panik","Giants","26.7 %","65.8 %","44.8 %","79.0 %","95.1 %","89.9 %","46.3 %","58.5 %","4.5 %","11.5 %","7.9 %","340","11936"
"Eduardo Nunez","Giants","39.1 %","72.4 %","54.5 %","76.2 %","92.7 %","86.4 %","46.3 %","62.6 %","7.4 %","8.6 %","3.7 %","267","6848"
"Adam Jones","Orioles","43.8 %","78.4 %","57.9 %","64.1 %","87.0 %","76.7 %","40.7 %","61.1 %","13.5 %","19.3 %","4.5 %","352","6368"
"Evan Longoria","Rays","35.9 %","71.1 %","50.7 %","71.4 %","87.4 %","80.8 %","41.9 %","63.9 %","9.7 %","17.7 %","7.8 %","385","9368"
"Orlando Arcia","Brewers","41.2 %","74.3 %","55.7 %","63.3 %","86.6 %","76.9 %","43.7 %","63.7 %","12.8 %","18.0 %","5.4 %","317","13185"
"Yolmer Sanchez","White Sox","33.1 %","67.1 %","48.1 %","66.3 %","84.9 %","77.8 %","44.0 %","63.0 %","10.7 %","19.8 %","7.9 %","278","11602"
"Martin Maldonado","Angels","31.0 %","62.4 %","46.5 %","53.9 %","85.1 %","74.6 %","49.5 %","66.9 %","11.8 %","24.2 %","4.1 %","269","6887"
"Hernan Perez","Brewers","41.3 %","69.0 %","53.8 %","69.8 %","87.1 %","79.8 %","45.1 %","65.8 %","10.9 %","15.4 %","4.7 %","298","5751"
"Manny Machado","Orioles","33.4 %","68.3 %","48.4 %","63.3 %","85.6 %","76.8 %","43.1 %","60.6 %","11.2 %","19.7 %","8.5 %","365","11493"
"Hunter Renfroe","Padres","33.8 %","68.6 %","48.2 %","58.1 %","76.3 %","68.8 %","41.2 %","63.1 %","15.0 %","27.9 %","6.5 %","341","15464"
"Ian Kinsler","Tigers","27.0 %","66.7 %","44.6 %","74.1 %","92.5 %","86.3 %","44.4 %","56.9 %","6.1 %","12.5 %","9.6 %","313","6195"
"Kevin Pillar","Blue Jays","37.4 %","66.9 %","50.8 %","70.8 %","94.8 %","85.1 %","45.2 %","59.8 %","7.6 %","15.2 %","5.7 %","368","12434"
"Chase Headley","Yankees","24.5 %","69.3 %","44.0 %","54.7 %","83.8 %","74.7 %","43.5 %","55.6 %","11.2 %","25.6 %","11.3 %","320","4720"
"Dee Gordon","Marlins","33.0 %","66.8 %","49.8 %","75.7 %","91.9 %","86.5 %","49.8 %","63.7 %","6.7 %","13.1 %","4.3 %","375","8203"
"Kyle Seager","Mariners","24.2 %","63.2 %","42.6 %","62.7 %","89.6 %","81.5 %","47.2 %","54.6 %","7.9 %","16.3 %","8.8 %","363","9785"
"Gregory Polanco","Pirates","34.6 %","69.7 %","49.4 %","67.1 %","92.4 %","82.1 %","42.0 %","64.2 %","8.8 %","13.3 %","7.7 %","285","12907"
"Freddy Galvis","Phillies","35.4 %","67.6 %","49.9 %","75.1 %","89.7 %","84.1 %","45.1 %","56.6 %","8.0 %","17.0 %","6.3 %","348","6609"
"Javier Baez","Cubs","44.9 %","72.6 %","56.0 %","52.0 %","79.5 %","66.3 %","40.1 %","59.5 %","18.9 %","26.0 %","5.0 %","262","12979"
"Adam Frazier","Pirates","27.0 %","64.3 %","45.1 %","74.1 %","92.3 %","86.7 %","48.5 %","59.9 %","6.0 %","12.9 %","8.7 %","264","15223"
"Manuel Margot","Padres","30.6 %","61.6 %","45.2 %","64.2 %","89.3 %","80.3 %","47.1 %","65.9 %","8.9 %","20.6 %","6.3 %","252","14712"
