"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Kevin Newman","Pirates","36.5 %","69.0 %","50.1 %","79.0 %","94.7 %","88.0 %","41.7 %","65.2 %","6.0 %","11.4 %","4.5 %","290","17696"
"Andrew Benintendi","Red Sox","32.4 %","77.4 %","50.3 %","68.7 %","81.3 %","76.4 %","39.9 %","60.3 %","11.9 %","22.6 %","9.3 %","257","17901"
"Shohei Ohtani","Angels","36.5 %","75.7 %","51.2 %","64.7 %","77.4 %","71.7 %","37.6 %","59.4 %","14.5 %","27.5 %","8.2 %","207","19755"
"Whit Merrifield","Royals","35.1 %","71.7 %","50.3 %","73.6 %","87.7 %","81.9 %","41.6 %","56.7 %","9.1 %","15.9 %","5.6 %","321","11281"
"Josh VanMeter","Reds","24.0 %","58.6 %","39.3 %","67.8 %","86.0 %","79.8 %","44.0 %","54.1 %","7.9 %","19.8 %","11.1 %","207","15170"
"Nick Ahmed","Diamondbacks","34.4 %","77.5 %","51.7 %","62.6 %","90.7 %","79.6 %","40.2 %","62.3 %","10.6 %","15.8 %","10.3 %","273","12147"
"Manny Machado","Padres","32.8 %","67.4 %","46.3 %","66.0 %","88.9 %","79.0 %","38.9 %","61.9 %","9.7 %","18.0 %","10.4 %","289","11493"
"Todd Frazier","Mets","32.4 %","64.9 %","45.7 %","55.9 %","86.3 %","73.6 %","41.1 %","54.0 %","12.1 %","23.8 %","7.5 %","252","785"
"Mike Moustakas","Brewers","33.3 %","74.7 %","49.3 %","66.5 %","82.7 %","75.9 %","38.6 %","53.8 %","11.9 %","16.4 %","10.2 %","225","4892"
"Adam Frazier","Pirates","32.4 %","69.5 %","48.2 %","74.9 %","94.1 %","86.6 %","42.5 %","58.4 %","6.4 %","13.4 %","7.4 %","269","15223"
"Oscar Mercado","Indians","28.8 %","78.0 %","49.9 %","53.4 %","90.2 %","78.1 %","42.9 %","62.4 %","10.9 %","16.9 %","6.8 %","295","16375"
"Anthony Santander","Orioles","41.5 %","71.1 %","53.5 %","71.4 %","86.7 %","79.6 %","40.5 %","59.6 %","10.9 %","22.6 %","3.5 %","287","14551"
"Jason Kipnis","Indians","32.0 %","66.1 %","46.8 %","61.0 %","96.3 %","82.8 %","43.6 %","59.7 %","8.1 %","18.6 %","7.2 %","221","9776"
"Jose Iglesias","Reds","50.3 %","70.9 %","58.5 %","81.8 %","93.2 %","87.3 %","40.1 %","59.7 %","7.5 %","11.3 %","2.9 %","238","10231"
"Jackie Bradley Jr.","Red Sox","30.7 %","70.5 %","48.1 %","54.9 %","77.2 %","69.2 %","43.8 %","63.0 %","14.8 %","29.6 %","9.1 %","243","12984"
"Randal Grichuk","Blue Jays","38.3 %","70.6 %","52.3 %","59.5 %","88.1 %","76.2 %","43.3 %","63.9 %","12.4 %","22.6 %","3.6 %","274","10243"
"Marcell Ozuna","Cardinals","27.1 %","66.4 %","41.4 %","59.3 %","87.7 %","75.8 %","36.4 %","56.1 %","10.0 %","20.6 %","13.9 %","223","10324"
"Dexter Fowler","Cardinals","27.4 %","67.0 %","42.3 %","61.7 %","83.2 %","74.5 %","37.7 %","58.4 %","10.8 %","26.3 %","14.0 %","293","4062"
"Albert Pujols","Angels","35.5 %","63.1 %","46.6 %","73.1 %","90.0 %","82.4 %","40.3 %","53.6 %","8.2 %","13.2 %","6.8 %","250","1177"
"Renato Nunez","Orioles","41.7 %","65.1 %","50.4 %","64.3 %","87.1 %","75.2 %","37.0 %","60.7 %","12.5 %","21.9 %","7.4 %","270","14503"
"Garrett Cooper","Marlins","38.5 %","64.5 %","48.9 %","71.7 %","89.1 %","80.9 %","39.9 %","62.4 %","9.4 %","28.2 %","7.0 %","213","15279"
"Kevin Pillar","Giants","50.5 %","75.4 %","59.6 %","77.3 %","93.6 %","84.8 %","36.5 %","64.2 %","9.1 %","13.0 %","2.7 %","299","12434"
"Adam Haseley","Phillies","34.1 %","72.1 %","49.7 %","55.0 %","86.3 %","73.6 %","40.9 %","65.0 %","13.1 %","25.2 %","5.6 %","234","19878"
"Christian Vazquez","Red Sox","36.5 %","72.7 %","52.2 %","69.3 %","86.9 %","79.9 %","43.3 %","61.9 %","10.5 %","20.5 %","7.6 %","249","9774"
"Harold Ramirez","Marlins","42.1 %","76.6 %","54.7 %","67.1 %","84.9 %","76.2 %","36.6 %","66.9 %","13.0 %","20.3 %","4.0 %","251","14387"
"Victor Robles","Nationals","34.0 %","70.1 %","49.0 %","63.2 %","85.9 %","76.7 %","41.5 %","66.1 %","11.4 %","21.0 %","6.3 %","286","18363"
"Jason Heyward","Cubs","30.8 %","70.4 %","46.4 %","66.1 %","89.0 %","79.8 %","39.5 %","54.5 %","9.4 %","19.8 %","10.9 %","257","4940"
"Luis Urias","Padres","27.9 %","63.7 %","43.4 %","72.0 %","83.5 %","79.3 %","43.3 %","62.7 %","9.0 %","20.5 %","9.5 %","220","16622"
"Cesar Hernandez","Phillies","28.7 %","64.0 %","44.4 %","74.0 %","90.5 %","84.6 %","44.4 %","62.5 %","6.9 %","16.9 %","7.3 %","301","10556"
"Eduardo Escobar","Diamondbacks","41.0 %","72.5 %","53.5 %","72.2 %","86.0 %","79.6 %","39.7 %","59.2 %","10.9 %","17.0 %","6.1 %","311","6153"
"Eddie Rosario","Twins","49.1 %","82.1 %","61.6 %","76.1 %","84.2 %","80.1 %","37.8 %","60.9 %","12.2 %","15.4 %","3.0 %","266","12155"
"Paul DeJong","Cardinals","34.6 %","74.3 %","51.5 %","58.6 %","86.4 %","75.7 %","42.7 %","62.2 %","12.5 %","26.7 %","9.0 %","288","18015"
"David Fletcher","Angels","27.6 %","49.6 %","38.1 %","78.3 %","97.0 %","89.9 %","47.8 %","57.4 %","3.8 %","12.0 %","7.7 %","324","17992"
"Justin Smoak","Blue Jays","24.6 %","64.8 %","41.3 %","58.6 %","86.2 %","76.6 %","41.6 %","60.2 %","9.7 %","24.4 %","14.9 %","201","9054"
"Manuel Margot","Padres","22.0 %","64.6 %","40.2 %","69.2 %","86.7 %","81.2 %","42.7 %","57.1 %","7.6 %","18.6 %","10.4 %","231","14712"
"Miguel Cabrera","Tigers","38.1 %","68.8 %","50.1 %","62.8 %","89.2 %","77.1 %","39.2 %","61.3 %","11.5 %","19.1 %","8.3 %","230","1744"
