"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Starling Marte","Pirates","34.6 %","74.7 %","51.4 %","61.2 %","87.6 %","77.3 %","42.0 %","62.7 %","11.7 %","21.1 %","6.6 %","351","9241"
"Travis Shaw","Brewers","27.5 %","66.6 %","43.6 %","72.3 %","88.6 %","82.5 %","41.1 %","51.6 %","7.6 %","16.1 %","12.9 %","372","11982"
"Brandon Crawford","Giants","31.9 %","79.7 %","52.4 %","56.4 %","82.6 %","73.4 %","42.8 %","60.5 %","13.9 %","19.9 %","8.9 %","372","5343"
"Teoscar Hernandez","Blue Jays","34.5 %","75.6 %","51.6 %","50.0 %","79.4 %","67.9 %","41.6 %","64.3 %","16.6 %","26.2 %","6.1 %","328","13066"
"C.J. Cron","Rays","37.8 %","69.0 %","50.2 %","61.5 %","81.7 %","72.5 %","39.6 %","59.8 %","13.8 %","26.3 %","6.1 %","376","12546"
"Brian Anderson","Marlins","26.4 %","68.1 %","45.7 %","65.5 %","86.8 %","80.2 %","46.2 %","57.6 %","9.1 %","17.0 %","8.7 %","424","18289"
"Denard Span","- - -","22.0 %","64.4 %","40.5 %","72.9 %","93.3 %","87.0 %","43.7 %","61.0 %","5.3 %","15.8 %","11.9 %","310","8347"
"Corey Dickerson","Pirates","44.6 %","77.2 %","58.0 %","77.0 %","86.6 %","82.2 %","41.1 %","63.1 %","10.3 %","12.8 %","4.1 %","344","10762"
"Cody Bellinger","Dodgers","26.7 %","65.3 %","43.6 %","62.8 %","75.7 %","71.3 %","43.7 %","56.7 %","12.5 %","24.0 %","10.8 %","388","15998"
"Matt Duffy","Rays","32.9 %","67.9 %","48.8 %","71.0 %","92.9 %","84.8 %","45.2 %","66.2 %","7.4 %","16.5 %","6.8 %","340","13836"
"Mark Canha","Athletics","31.9 %","58.6 %","43.2 %","70.7 %","87.1 %","80.1 %","42.3 %","62.2 %","8.6 %","22.9 %","9.1 %","275","11445"
"Albert Almora Jr.","Cubs","41.5 %","71.9 %","54.7 %","64.3 %","86.8 %","77.1 %","43.5 %","71.1 %","12.5 %","16.4 %","5.7 %","298","14109"
"Carlos Gonzalez","Rockies","37.2 %","74.9 %","52.0 %","57.8 %","84.3 %","72.7 %","39.0 %","61.4 %","14.2 %","22.5 %","7.1 %","280","7287"
"Justin Upton","Angels","24.9 %","65.7 %","42.0 %","55.6 %","82.0 %","72.9 %","41.8 %","57.4 %","11.4 %","27.5 %","11.6 %","404","5222"
"Miguel Andujar","Yankees","36.1 %","73.3 %","51.3 %","67.3 %","91.6 %","81.5 %","40.9 %","69.0 %","9.5 %","17.4 %","4.7 %","339","15878"
