"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Niko Goodrum","Tigers","32.3 %","68.0 %","47.1 %","57.7 %","86.2 %","74.7 %","41.4 %","60.7 %","11.9 %","24.5 %","8.3 %","216","12092"
"Yadier Molina","Cardinals","39.2 %","71.8 %","53.1 %","79.3 %","88.6 %","84.6 %","42.6 %","62.3 %","8.2 %","11.9 %","6.3 %","252","7007"
"Yonder Alonso","Indians","33.1 %","73.0 %","49.7 %","56.4 %","87.1 %","75.2 %","41.8 %","54.6 %","12.3 %","21.4 %","8.8 %","238","2530"
"Paul DeJong","Cardinals","33.1 %","68.2 %","48.8 %","61.5 %","89.6 %","79.1 %","44.9 %","61.8 %","10.2 %","23.5 %","6.3 %","285","18015"
"Todd Frazier","Mets","27.3 %","61.3 %","42.6 %","63.9 %","84.5 %","77.3 %","45.1 %","59.9 %","9.7 %","25.5 %","9.9 %","212","785"
"Nick Markakis","Braves","22.7 %","60.0 %","39.4 %","78.8 %","93.9 %","89.1 %","44.8 %","57.3 %","4.3 %","11.9 %","10.5 %","286","5930"
"David Fletcher","Angels","30.6 %","52.7 %","41.1 %","83.2 %","95.4 %","90.7 %","47.8 %","63.1 %","3.9 %","10.2 %","5.3 %","225","17992"
"Yuli Gurriel","Astros","35.8 %","69.6 %","49.2 %","81.4 %","92.3 %","87.5 %","39.7 %","63.9 %","6.2 %","12.2 %","3.8 %","238","19198"
"Starlin Castro","Marlins","28.2 %","64.6 %","44.2 %","61.5 %","89.7 %","79.6 %","43.8 %","61.5 %","9.0 %","20.4 %","8.0 %","226","4579"
"A.J. Pollock","Diamondbacks","34.2 %","66.9 %","48.0 %","57.5 %","90.6 %","76.9 %","42.1 %","58.9 %","11.1 %","22.5 %","6.3 %","253","9256"
"Yoan Moncada","White Sox","22.5 %","62.7 %","39.5 %","51.0 %","79.6 %","70.2 %","42.3 %","55.1 %","11.8 %","32.6 %","11.6 %","267","17232"
"Josh Reddick","Astros","29.3 %","66.7 %","45.2 %","71.2 %","89.7 %","82.8 %","42.6 %","59.1 %","7.8 %","15.9 %","10.1 %","208","3892"
"Ian Desmond","Rockies","32.3 %","70.8 %","48.7 %","58.9 %","85.3 %","75.2 %","42.5 %","69.5 %","12.1 %","20.5 %","8.4 %","249","6885"
"Amed Rosario","Mets","41.7 %","72.2 %","55.0 %","64.2 %","86.8 %","77.1 %","43.6 %","67.7 %","12.6 %","19.3 %","4.6 %","285","15518"
"Asdrubal Cabrera","- - -","33.3 %","70.1 %","49.2 %","66.2 %","83.2 %","76.7 %","43.2 %","61.8 %","11.5 %","21.2 %","6.1 %","212","4962"
"Wil Myers","Padres","34.1 %","64.0 %","46.0 %","69.5 %","84.1 %","77.6 %","39.9 %","67.3 %","10.3 %","29.3 %","9.1 %","208","10047"
